,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion
0,3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,edgar/data/3662/0000950170-98-000413.txt,6,10,-0.24999998437500096,21.583333333333332,20.84942084942085,16.973101673101674,108,518,4,5,0.011583011583011582,0.019305019305019305,0.007722007722007722,0.009652509652509652
1,3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,edgar/data/3662/0000950170-98-001001.txt,585,1428,-0.41877794316007055,14.99609984399376,39.95838751625488,21.98179494409946,23046,57675,859,1047,0.010143042912873863,0.024759427828348505,0.014893801473775467,0.018153446033810142
2,3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,2,8,-0.599999940000006,11.244897959183673,28.85662431941924,16.040608911441165,159,551,9,5,0.003629764065335753,0.014519056261343012,0.016333938294010888,0.009074410163339383
3,3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,edgar/data/3662/0000950170-98-002145.txt,368,1404,-0.5846501125368792,13.106069364161849,40.547334994597215,21.461361743503627,18387,45347,553,717,0.008115200564535692,0.03096125432773943,0.012194853022250644,0.015811409795576332
4,3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,3,8,-0.4545454132231443,11.875,28.87218045112782,16.298872180451127,192,665,10,4,0.004511278195488722,0.012030075187969926,0.015037593984962405,0.006015037593984963
5,3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,46,397,-0.7923250546448645,13.341829085457272,39.63366670412406,21.190198315832532,3527,8899,179,92,0.005169120125856838,0.044611754129677494,0.02011461962018204,0.010338240251713676
6,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002401.txt,125,581,-0.6458923503599259,14.413064361191163,39.396161023727004,21.523690153967266,5911,15004,279,272,0.00833111170354572,0.038723007198080514,0.01859504132231405,0.01812849906691549
7,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002402.txt,62,356,-0.7033492806139969,13.796187683284458,39.55787012434902,21.341623123053395,3722,9409,201,106,0.006589435646721225,0.03783611435859284,0.021362525241789776,0.011265809331491126
8,3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,6,10,-0.24999998437500096,21.583333333333332,20.84942084942085,16.973101673101674,108,518,4,5,0.011583011583011582,0.019305019305019305,0.007722007722007722,0.009652509652509652
9,3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,edgar/data/3662/0000950170-99-000775.txt,408,1592,-0.591999999704,14.036532507739938,41.73761524548944,22.30965910129175,18923,45338,668,502,0.00899907362477392,0.035114032379019805,0.014733777405267105,0.011072389606952225
10,3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,2,6,-0.4999999375000079,11.584905660377359,30.456026058631924,16.816372687603714,187,614,13,3,0.003257328990228013,0.009771986970684038,0.021172638436482084,0.004885993485342019
11,3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,edgar/data/3662/0000950170-99-001005.txt,69,370,-0.685649201171642,13.879173290937997,40.20618556701031,21.634143543179324,3510,8730,204,83,0.007903780068728522,0.042382588774341354,0.02336769759450172,0.009507445589919816
12,3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,2,5,-0.4285713673469475,11.196078431372548,28.896672504378284,16.037100374300334,165,571,7,3,0.0035026269702276708,0.008756567425569177,0.012259194395796848,0.005253940455341506
13,3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,edgar/data/3662/0000950170-99-001361.txt,142,523,-0.5729323299655152,13.764067127344521,39.123574553539406,21.155056672353574,5455,13943,312,151,0.010184321881947931,0.037509861579287096,0.022376819909632074,0.010829807071648856
14,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,edgar/data/3662/0000889812-99-003241.txt,270,1272,-0.6498054470494128,13.84771986970684,41.011467215524846,21.943674834092675,13948,34010,665,336,0.007938841517200824,0.03740076448103499,0.019553072625698324,0.009879447221405468
15,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,147,651,-0.6315789465769688,14.299137104506231,39.4662733002548,21.50616416190441,5886,14914,342,169,0.009856510661123776,0.04365026149926244,0.022931473783022665,0.011331634705645702
16,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,110,632,-0.703504042178566,14.249469214437367,40.08045891380466,21.731971251296812,5380,13423,316,157,0.008194889368993518,0.047083364374580945,0.023541682187290473,0.011696342099381658
17,3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,3,3,0.0,10.431372549019608,28.195488721804512,15.450744508329649,150,532,5,3,0.005639097744360902,0.005639097744360902,0.009398496240601503,0.005639097744360902
18,3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,edgar/data/3662/0000950170-99-001856.txt,6,10,-0.24999998437500096,21.625,20.809248554913296,16.973699421965318,108,519,4,5,0.011560693641618497,0.019267822736030827,0.007707129094412331,0.009633911368015413
19,3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,edgar/data/3982/0000950129-06-002926.txt,344,1392,-0.6036866355969547,38.57544757033248,8.397125648335619,18.78902928746724,16465,196079,655,523,0.0017543949122547544,0.007099179412379704,0.0033404903125780934,0.002667292264852432
20,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,edgar/data/3982/0000950129-06-004690.txt,6,10,-0.24999998437500096,21.625,20.809248554913296,16.973699421965318,108,519,4,5,0.011560693641618497,0.019267822736030827,0.007707129094412331,0.009633911368015413
21,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,edgar/data/3982/0000950129-06-005244.txt,196,1159,-0.7107011064865674,36.746379647749514,12.815405753725223,19.824714160589895,12032,93887,330,652,0.0020876159638714624,0.012344627051668495,0.0035148636126407277,0.006944518410429559
22,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,edgar/data/3982/0000950129-06-007243.txt,6,10,-0.24999998437500096,21.625,20.809248554913296,16.973699421965318,108,519,4,5,0.011560693641618497,0.019267822736030827,0.007707129094412331,0.009633911368015413
23,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,31,148,-0.6536312812646298,39.461716937354986,8.457784571966133,19.16780060372845,2877,34016,102,63,0.0009113358419567262,0.004350893697083726,0.002998588899341486,0.0018520696142991532
24,3982,ALLIS CHALMERS ENERGY INC.,200608,2006-08-14,10-Q,edgar/data/3982/0000950129-06-007871.txt,57,130,-0.3903743294632389,42.930998970133885,8.324137600153529,20.502054628114966,3470,41686,145,67,0.0013673655423883319,0.0031185529914119848,0.0034783860288825985,0.0016072542340354076
25,3982,ALLIS CHALMERS ENERGY INC.,200611,2006-11-08,10-Q,edgar/data/3982/0000950129-06-009522.txt,105,274,-0.4459102890609227,53.62933753943218,7.265962765801006,24.358120122093275,4941,68002,268,112,0.0015440722331696126,0.004029293256080703,0.00394106055704244,0.001647010382047587
26,3982,ALLIS CHALMERS ENERGY INC.,200612,2006-12-29,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,234,921,-0.594805194290212,33.71330798479087,7.487650283084834,16.480383307150284,13278,177332,266,374,0.0013195587936751403,0.005193648072541899,0.0015000112782802878,0.0021090384138226603
